house_area,house_fitmend,house_located,house_name,house_room,house_towards,total_price,unit_price
95,简装,科技园区,富锦嘉园四区 ,2室2厅,南 北,510,53220
112,精装,亚运村,慧忠里 ,3室1厅,东 南 北,850,75288
100,精装,农展馆,碧湖居 ,2室1厅,西南,788,78408
59,简装,旧宫,大城小镇 ,1室1厅,南 北,289,48984
32,精装,马家堡,三星庄园 ,1室0厅,南,215,66195
59,精装,崇文门,新景家园西区 ,1室1厅,南,570,95175
28,精装,广安门,荣丰2008 ,1室1厅,北,385,135659
116,其他,西直门,海云轩 ,2室1厅,西南,850,73094
60,精装,芍药居,芍药居北里 ,2室1厅,东 西,471,77981
89,精装,亚运村小营,远洋万和城B区 ,2室1厅,南 北,980,108998
47,精装,马甸,新明胡同 ,1室1厅,南,665,140592
61,简装,芍药居,芍药居 ,2室1厅,南,485,78773
57,精装,新街口,红联南村 ,2室1厅,南 北,449,78360
64,简装,阜成门,展览路 ,2室1厅,西 北,600,93750
157,精装,望京,大西洋新城F区 ,3室2厅,东 西,1500,95208
153,简装,望京,望京西园三区 ,3室1厅,南 北,900,58717
144,精装,望京,融科橄榄城三期 ,3室2厅,南 北,1400,96920
74,精装,苹果园,苹果园小区三区 ,2室1厅,西南,350,46823
70,简装,马甸,新外大街6号院 ,3室1厅,南 北,900,128206
45,简装,常营,北辰福第二号院 ,1室0厅,南,256,55969
46,简装,方庄,gogo新世代 ,1室0厅,东,296,63807
71,简装,清河,观澳园 ,1室1厅,南 北,508,71510
90,简装,苏州桥,小南庄社区 ,2室1厅,南 北,810,89464
70,简装,北苑,鑫兆丽园 ,1室1厅,东 西,380,54132
75,简装,六铺炕,安德馨居 ,2室1厅,南 北,946,124918
133,简装,天通苑,天通苑北三区 ,3室1厅,南 北,520,38827
88,精装,西三旗,旗胜家园 ,2室1厅,南,377,42595
86,精装,太阳宫,新纪家园 ,2室1厅,南 北,650,75424
120,精装,华威桥,美景东方 ,3室1厅,西北,829,68980
65,简装,团结湖,水碓子社区 ,2室1厅,南 北,380,58444
89,精装,赵公口,彩虹城一区 ,2室1厅,东南 北,538,59905
90,精装,双井,富力城C区 ,2室2厅,东北,910,100597
96,精装,天通苑,天通苑东一区 ,2室1厅,东,370,38263
87,精装,八角,融景城 ,2室1厅,南 北,553,63302
103,简装,紫竹桥,富丽小区 ,3室1厅,东 西北,982,94770
107,毛坯,鲁谷,远洋山水 ,2室1厅,南,710,66176
80,简装,霍营,龙旗广场 ,2室1厅,东南,380,47423
113,精装,苹果园,雍景四季 ,2室1厅,南,695,61391
99,精装,回龙观,龙跃苑四区 ,2室1厅,南 北,480,48261
77,简装,牡丹园,花园路3号院 ,2室1厅,东北,650,83441
69,其他,回龙观,龙华园 ,2室1厅,南 北,359,51411
121,精装,五道口,水清木华园 ,2室1厅,南,1150,94348
101,精装,望京,华彩国际公寓 ,2室1厅,南 西南,860,84788
89,精装,四惠,凯德锦绣 ,2室1厅,东 西,860,96489
87,精装,朝青,珠江罗马嘉园东区 ,2室1厅,南 北,670,76293
132,简装,健翔桥,安翔里小区 ,3室1厅,南 北,1050,79252
107,精装,酒仙桥,上东三角洲 ,2室1厅,东 南,550,51064
59,其他,清河,永泰东里 ,2室1厅,南 北,392,66105
57,简装,望京,花家地南里 ,2室1厅,西南 东北,405,69912
102,其他,双井,富力城B区 ,3室1厅,南 北,1020,99309
137,精装,双井,A派公寓 ,3室2厅,南,1290,93853
106,精装,华威桥,美景东方 ,2室1厅,东 西,720,67322
109,精装,望京,银领国际 ,2室2厅,西南,760,69224
88,精装,双井,双花园南里二区 ,2室1厅,东南 西南,678,76976
73,简装,顺义城,西辛南区 ,2室1厅,南 北,275,37193
158,简装,牡丹园,龙翔路小区 ,3室1厅,东南,1380,87171
112,精装,方庄,首开璞瑅 ,3室1厅,东 西,930,82506
97,精装,双井,CBD总部公寓二期 ,2室2厅,南,850,86753
147,精装,三元桥,UHN国际村 ,3室2厅,南 北,1390,94443
105,简装,旧宫,德林园 ,2室2厅,南 北,518,49030
81,简装,潘家园,弘善家园 ,2室1厅,西 北,385,47269
81,精装,后沙峪,万科城市花园 ,2室2厅,南 北,370,45344
77,简装,和平里,和平街十五区1号院 ,3室1厅,东南,520,66761
65,简装,潘家园,松榆里 ,2室1厅,东南,385,58824
88,简装,惠新西街,胜古家园 ,2室1厅,南,699,78584
90,其他,三里屯,华源之星 ,2室1厅,西南,680,74899
104,简装,天通苑,天通苑中苑 ,2室1厅,南 北,390,37493
61,简装,红庙,呼家楼北街 ,2室1厅,南,430,70262
117,精装,黄村北,郁花园二里 ,2室2厅,南 北,499,42317
72,简装,清河,橡树湾 ,2室1厅,西,655,90583
133,其他,四季青,曙光花园 ,3室1厅,东南,1290,96746
73,其他,小西天,红联北村 ,2室1厅,东,550,74830
195,精装,四季青,郦城三区 ,3室2厅,南 北,1680,85789
128,毛坯,双桥,远洋一方溪语苑 ,3室1厅,南 北,720,56132
57,简装,滨河西区,月季园东里 ,2室1厅,南 北,228,39481
65,毛坯,农展馆,农展南里 ,2室1厅,南 北,455,69764
76,简装,金融街,丰盛胡同 ,3室1厅,南 北,1220,159686
89,精装,长阳,长阳半岛2号院 ,2室1厅,南,370,41121
89,精装,四惠,东恒时代二期 ,2室2厅,南,820,91662
139,简装,马家堡,名都家苑 ,3室2厅,南 北,942,67305
86,精装,双井,富力城A区 ,2室1厅,北,860,99273
95,简装,回龙观,风雅园一区 ,2室1厅,南 北,385,40323
69,简装,观音寺,观音寺北里 ,2室1厅,南 北,265,38246
72,简装,广安门,西豪逸景 ,2室1厅,南,645,88648
56,简装,广安门,车站西街13号院 ,2室1厅,南 北,520,92643
66,其他,青塔,万科紫苑 ,2室1厅,南 北,532,79761
75,毛坯,月坛,地藏庵 ,3室1厅,东 西,750,99867
88,精装,旧宫,润枫锦尚 ,2室1厅,南,419,47238
59,简装,望京,望花路西里 ,2室1厅,南,375,63292
